id,cx,cy,radius_px,diameter_px,circularity,diameter_um
0,73.0,451.97,15.26,30.53,0.8575,61.06
1,45.92,407.92,11.29,22.58,0.8887,45.16
2,358.3,398.1,20.24,40.48,0.9057,80.96
3,189.2,376.0,8.77,17.53,0.8799,35.06
4,128.08,317.08,9.32,18.64,0.8811,37.28
5,232.56,339.81,46.26,92.52,0.7154,185.04
6,370.15,291.85,11.61,23.23,0.8757,46.46
7,119.11,245.55,16.5,33.0,0.862,66.0
8,604.02,251.68,21.83,43.66,0.8649,87.32
9,198.18,219.18,6.96,13.91,0.8984,27.82
10,450.42,219.13,18.92,37.84,0.8625,75.68
11,274.64,189.33,35.53,71.06,0.7955,142.12
12,17.9,128.02,7.18,14.35,0.8514,28.7
13,562.93,105.23,28.88,57.76,0.8777,115.52
14,431.89,75.11,21.99,43.99,0.8677,87.98
15,66.0,67.0,15.65,31.31,0.9044,62.62
16,218.1,29.9,9.36,18.72,0.8506,37.44
