id,cx,cy,radius_px,diameter_px,circularity,diameter_um
0,110.11,398.85,21.44,42.89,0.8683,85.78
1,490.16,344.63,25.97,51.94,0.8653,103.88
2,53.28,326.72,36.62,73.25,0.8749,146.5
3,325.0,295.0,6.08,12.17,0.8422,24.34
4,494.37,249.25,26.79,53.58,0.8869,107.16
5,300.06,221.98,13.1,26.19,0.8639,52.38
6,367.0,238.0,31.91,63.81,0.7675,127.62
7,331.01,144.1,15.13,30.27,0.8742,60.54
8,262.21,151.19,22.22,44.44,0.8884,88.88
9,53.29,108.88,25.87,51.73,0.8626,103.46
10,245.5,86.07,15.36,30.72,0.8835,61.44
11,318.0,84.0,13.6,27.2,0.9054,54.4
12,199.0,73.0,16.76,33.53,0.8927,67.06
13,446.51,89.24,40.15,80.3,0.8715,160.6
14,570.73,41.5,35.9,71.81,0.7203,143.62
