id,cx,cy,radius_px,diameter_px,circularity,diameter_um
0,284.05,425.5,24.84,49.67,0.8829,99.34
1,422.16,382.28,15.76,31.52,0.8883,63.04
2,69.59,357.66,22.14,44.28,0.8458,88.56
3,509.0,345.0,16.55,33.11,0.8924,66.22
4,95.73,315.22,9.81,19.62,0.8811,39.24
5,34.95,309.04,9.01,18.02,0.8767,36.04
6,582.42,311.07,20.94,41.88,0.8853,83.76
7,333.94,274.94,17.22,34.44,0.8853,68.88
8,46.71,258.0,15.02,30.03,0.8933,60.06
9,361.82,239.0,6.55,13.09,0.8909,26.18
10,540.0,224.0,8.6,17.2,0.9096,34.4
11,352.0,179.0,13.42,26.83,0.8921,53.66
12,172.94,156.06,12.72,25.45,0.904,50.9
13,368.17,90.3,18.77,37.54,0.8843,75.08
14,220.5,90.04,25.0,50.0,0.8647,100.0
15,32.68,76.26,10.7,21.41,0.8816,42.82
16,516.85,43.85,6.51,13.02,0.9053,26.04
17,103.5,65.0,44.2,88.39,0.8141,176.78
18,396.0,26.0,7.28,14.56,0.8843,29.12
