id,cx,cy,radius_px,diameter_px,circularity,diameter_um
0,149.56,434.09,29.43,58.85,0.8753,117.7
1,12.0,403.31,5.68,11.35,0.9379,22.7
2,303.16,396.07,28.75,57.5,0.8619,115.0
3,592.28,351.0,13.87,27.73,0.8933,55.46
4,363.0,355.0,26.4,52.8,0.8416,105.6
5,223.89,342.78,44.54,89.07,0.7877,178.14
6,501.15,297.97,30.74,61.49,0.8219,122.98
7,579.54,252.64,33.03,66.07,0.8063,132.14
8,485.77,229.0,23.31,46.62,0.8777,93.24
9,227.5,198.5,40.35,80.71,0.8599,161.42
10,584.97,167.8,8.75,17.5,0.9012,35.0
11,286.91,160.12,10.15,20.31,0.8842,40.62
12,555.08,131.84,13.3,26.61,0.8731,53.22
13,481.02,134.99,28.64,57.27,0.8873,114.54
14,607.45,113.36,23.6,47.2,0.8733,94.4
15,282.0,95.0,29.07,58.14,0.7613,116.28
16,107.34,94.64,29.34,58.68,0.8643,117.36
17,540.96,57.09,28.56,57.12,0.8664,114.24
